id,user,location,tweet,lang
1258477714245160960,UmaAletheia,,The Netherlands Rules Out “Mass Events” Until There’s A Coronavirus Vaccine https://t.co/gwcIRn32tB https://t.co/Rw0LGQfjsb,en
1258477714601914368,drhalat,Poland,"COVID-19 Among Workers in Meat and Poultry Processing Facilities ― 19 States, April 2020 https://t.co/WZHX30qbpy",en
1258477715172265987,DarthHispano,,"@IdiazAyuso fuego amigo. 
Dos telediarios",es
1258477715352674310,Wilsonnoticias1,"Caracas, Venezuela",SELA publica informe sobre las políticas frente al covid-19 en la región https://t.co/8uR8nxvigD,es
1258477715423989760,MyDoctorSteve,Memphis,How the Coronavirus Affects the Rural South #SmartNews  https://t.co/42MGBxy2Xy,en
1258477715516280832,Naptownasaurus,"Westside, Indianapolis",@CasesinVirginia My reading list has expanded exponentially,en
1258477715604361217,ElPatagonNET,,Escándalo en Italia tras la liberación de 376 mafiosos por el riesgo de contagio de coronavirus https://t.co/HBvN2T9XTx,es
1258477715658887175,Pabloobahia,,@jcamilojposada @Encuesta5Futbol 26/06/2011 qepd riBer plei...morir es el DESCENSO,es
1258477715851751425,jennfrombuffalo,"ÜT: 42.791788,-78.822252",And im done for today.......,en
1258477715881111552,manueluchi,España,"Buaff!!! Cascada me chifla, lo único que el directo no fue muy bueno #MaratonESC2013",es
1258477715725914113,GhoulBastard,Limbo,What the actual fuck is going on?,en
